epoch,train_loss,train_acc,test_acc
1,5.428683,2.4,2.4814573967787235
2,5.339115,2.5,
3,5.330250,2.5,
4,5.327758,2.5,
5,5.325731,2.5,
6,5.324241,2.5,
7,5.323280,2.5,
8,5.322345,2.5,
9,5.321867,2.5,
10,5.321887,2.5,2.4823998416692583
11,5.321524,2.5,
12,5.321242,2.5,
13,5.320759,2.5,
14,5.321390,2.5,
15,5.322814,2.5,
16,5.323560,2.5,
17,5.323860,2.5,
18,5.324385,2.5,
19,5.325163,2.5,
20,5.327187,2.5,2.4861696212313986
21,5.326346,2.5,
22,5.326458,2.5,
23,5.326546,2.5,
24,5.327682,2.5,
25,5.328760,2.5,
26,5.324877,2.5,
27,5.327325,2.5,
28,5.351555,2.5,
29,5.343271,2.4,
30,5.330922,2.5,2.4842847314503285
31,5.327350,2.5,
32,5.325139,2.5,
33,5.324385,2.5,
34,5.322280,2.5,
35,5.321618,2.5,
36,5.321624,2.5,
37,5.320185,2.5,
38,5.320083,2.5,
39,5.321209,2.5,
40,5.323327,2.5,2.4852271763408633
41,5.338845,2.5,
42,5.329741,2.5,
