name,recall,precision,f1_score,support,predicted_count,pred_bias
mike,0.31,0.03575547866205306,0.06411582213029991,200,1734,8.67
andrew,0.155,0.03672985781990521,0.05938697318007662,200,844,4.22
william,0.055,0.04602510460251046,0.05011389521640092,200,239,1.195
matt,0.08,0.033402922755741124,0.047128129602356406,200,479,2.395
jessica,0.05,0.03759398496240601,0.04291845493562232,200,266,1.33
james,0.06,0.030534351145038167,0.04047217537942665,200,393,1.965
michael,0.06,0.030379746835443037,0.040336134453781515,200,395,1.975
lisa,0.025,0.078125,0.03787878787878788,200,64,0.32
julia,0.035,0.03932584269662921,0.03703703703703704,200,178,0.89
maria,0.04,0.03389830508474576,0.03669724770642202,200,236,1.18
chris,0.035,0.03723404255319149,0.03608247422680413,200,188,0.94
thomas,0.02,0.07547169811320754,0.03162055335968379,200,53,0.265
nicole,0.02,0.07142857142857142,0.03125,200,56,0.28
daniel,0.03,0.02857142857142857,0.02926829268292683,200,210,1.05
ashley,0.02,0.05063291139240506,0.028673835125448032,200,79,0.395
amanda,0.015,0.04838709677419355,0.022900763358778626,200,62,0.31
laura,0.015,0.04477611940298507,0.02247191011235955,200,67,0.335
sara,0.01,0.05555555555555555,0.016949152542372885,200,36,0.18
sarah,0.01,0.020618556701030927,0.01346801346801347,200,97,0.485
john,0.01,0.01639344262295082,0.012422360248447206,200,122,0.61
michelle,0.005,0.3333333333333333,0.009852216748768473,200,3,0.015
sam,0.005,0.038461538461538464,0.008849557522123895,200,26,0.13
andrea,0.005,0.018518518518518517,0.007874015748031496,200,54,0.27
anna,0.005,0.011627906976744186,0.006993006993006993,200,86,0.43
alex,0.0,0.0,0.0,200,1,0.005
david,0.0,0.0,0.0,200,9,0.045
ana,0.0,0.0,0.0,200,16,0.08
emily,0.0,0.0,0.0,200,4,0.02
mark,0.0,0.0,0.0,200,3,0.015
nick,0.0,0.0,0.0,200,0,0.0
