name,recall,precision,f1_score,support,predicted_count,pred_bias
nicole,0.064,0.05604203152364273,0.059757236227824466,500,571,1.142
anna,0.046,0.0515695067264574,0.048625792811839326,500,446,0.892
maria,0.06,0.04059539918809202,0.04842615012106538,500,739,1.478
ana,0.042,0.05614973262032086,0.048054919908466824,500,374,0.748
michelle,0.060291060291060294,0.037516170763260026,0.04625199362041467,481,773,1.607068607068607
lisa,0.043568464730290454,0.04,0.041708043694141016,482,525,1.0892116182572613
andrew,0.04,0.0425531914893617,0.041237113402061855,500,470,0.94
ashley,0.0407725321888412,0.04121475054229935,0.04099244875943905,466,461,0.9892703862660944
sarah,0.032,0.05128205128205128,0.03940886699507389,500,312,0.624
mark,0.05,0.03048780487804878,0.03787878787878788,500,820,1.64
michael,0.044,0.031654676258992806,0.03682008368200836,500,695,1.39
jessica,0.03,0.04559270516717325,0.0361881785283474,500,329,0.658
james,0.036,0.03578528827037773,0.03589232303090728,500,503,1.006
sam,0.048,0.027972027972027972,0.03534609720176731,500,858,1.716
alex,0.036,0.03461538461538462,0.03529411764705882,500,520,1.04
emily,0.04,0.030721966205837174,0.034752389226759335,500,651,1.302
laura,0.038,0.03177257525083612,0.03460837887067395,500,598,1.196
thomas,0.03,0.03588516746411483,0.032679738562091505,500,418,0.836
sara,0.032,0.03319502074688797,0.03258655804480652,500,482,0.964
daniel,0.038,0.027982326951399118,0.032230703986429174,500,679,1.358
william,0.026,0.04024767801857585,0.031591737545565005,500,323,0.646
nick,0.027896995708154508,0.03523035230352303,0.0311377245508982,466,369,0.7918454935622318
julia,0.03023758099352052,0.029535864978902954,0.029882604055496267,463,474,1.0237580993520519
david,0.026,0.029953917050691243,0.027837259100642397,500,434,0.868
chris,0.028,0.026168224299065422,0.027053140096618356,500,535,1.07
andrea,0.02,0.03690036900369004,0.025940337224383915,500,271,0.542
amanda,0.022,0.02997275204359673,0.025374855824682813,500,367,0.734
john,0.024,0.026030368763557483,0.02497398543184183,500,461,0.922
matt,0.015021459227467811,0.036458333333333336,0.021276595744680854,466,192,0.41201716738197425
mike,0.008316008316008316,0.025806451612903226,0.012578616352201259,481,155,0.32224532224532226
