name,recall,precision,f1_score,support,predicted_count,true_positives,false_positives,false_negatives,pred_bias
thomas,0.278,0.21124620060790272,0.2400690846286701,500,658,139,519,361,1.316
lisa,0.26556016597510373,0.1755829903978052,0.21139554087530968,482,729,128,601,354,1.512448132780083
daniel,0.224,0.15114709851551958,0.18049959709911365,500,741,112,629,388,1.482
ashley,0.24248927038626608,0.14231738035264482,0.17936507936507934,466,794,113,681,353,1.703862660944206
sara,0.144,0.18414322250639387,0.16161616161616163,500,391,72,319,428,0.782
andrew,0.158,0.15105162523900573,0.1544477028347996,500,523,79,444,421,1.046
john,0.122,0.19805194805194806,0.150990099009901,500,308,61,247,439,0.616
mark,0.148,0.14258188824662812,0.1452404317958783,500,519,74,445,426,1.038
matt,0.16523605150214593,0.1285475792988314,0.14460093896713616,466,599,77,522,389,1.2854077253218885
ana,0.164,0.12832550860719874,0.14398595258999122,500,639,82,557,418,1.278
chris,0.152,0.1354723707664884,0.14326107445805844,500,561,76,485,424,1.122
alex,0.15,0.12647554806070826,0.13723696248856357,500,593,75,518,425,1.186
jessica,0.154,0.1232,0.1368888888888889,500,625,77,548,423,1.25
mike,0.14137214137214138,0.11486486486486487,0.1267474370922647,481,592,68,524,413,1.2307692307692308
james,0.092,0.18775510204081633,0.12348993288590604,500,245,46,199,454,0.49
michelle,0.11642411642411643,0.12017167381974249,0.11826821541710666,481,466,56,410,425,0.9688149688149689
michael,0.102,0.13934426229508196,0.11778290993071594,500,366,51,315,449,0.732
julia,0.11879049676025918,0.11363636363636363,0.11615628299894404,463,484,55,429,408,1.0453563714902807
anna,0.112,0.11023622047244094,0.11111111111111109,500,508,56,452,444,1.016
sam,0.13,0.09687034277198212,0.11101622544833475,500,671,65,606,435,1.342
laura,0.098,0.10816777041942605,0.10283315844700944,500,453,49,404,451,0.906
maria,0.07,0.10574018126888217,0.0842358604091456,500,331,35,296,465,0.662
andrea,0.07,0.08663366336633663,0.07743362831858407,500,404,35,369,465,0.808
amanda,0.062,0.10264900662251655,0.0773067331670823,500,302,31,271,469,0.604
david,0.054,0.10074626865671642,0.07031249999999999,500,268,27,241,473,0.536
sarah,0.054,0.08206686930091185,0.06513872135102533,500,329,27,302,473,0.658
nicole,0.042,0.0875,0.05675675675675675,500,240,21,219,479,0.48
