name,recall,precision,f1_score,support,predicted_count,true_positives,false_positives,false_negatives,pred_bias
thomas,0.27,0.19911504424778761,0.22920203735144315,500,678,135,543,365,1.356
lisa,0.18049792531120332,0.17193675889328064,0.17611336032388664,482,506,87,419,395,1.049792531120332
emily,0.234,0.14011976047904193,0.1752808988764045,500,835,117,718,383,1.67
daniel,0.206,0.14365411436541142,0.16926869350862778,500,717,103,614,397,1.434
nick,0.2017167381974249,0.12685560053981107,0.15575807787903895,466,741,94,647,372,1.590128755364807
michelle,0.18711018711018712,0.13157894736842105,0.15450643776824036,481,684,90,594,391,1.4220374220374221
mark,0.154,0.14583333333333334,0.14980544747081712,500,528,77,451,423,1.056
sara,0.128,0.16161616161616163,0.14285714285714285,500,396,64,332,436,0.792
john,0.116,0.17682926829268292,0.14009661835748793,500,328,58,270,442,0.656
ana,0.148,0.13120567375886524,0.13909774436090225,500,564,74,490,426,1.128
jessica,0.158,0.12210200927357033,0.13775065387968616,500,647,79,568,421,1.294
chris,0.146,0.12966252220248667,0.13734713076199434,500,563,73,490,427,1.126
alex,0.144,0.125,0.13382899628252787,500,576,72,504,428,1.152
ashley,0.13090128755364808,0.12577319587628866,0.128286014721346,466,485,61,424,405,1.0407725321888412
anna,0.128,0.10996563573883161,0.11829944547134935,500,582,64,518,436,1.164
james,0.088,0.16923076923076924,0.11578947368421051,500,260,44,216,456,0.52
matt,0.11158798283261803,0.11899313501144165,0.115171650055371,466,437,52,385,414,0.9377682403433476
andrew,0.118,0.10986964618249534,0.1137897782063645,500,537,59,478,441,1.074
michael,0.086,0.13564668769716087,0.10526315789473684,500,317,43,274,457,0.634
laura,0.098,0.10864745011086474,0.10304942166140905,500,451,49,402,451,0.902
mike,0.1101871101871102,0.09137931034482759,0.0999057492931197,481,580,53,527,428,1.2058212058212059
julia,0.09503239740820735,0.10476190476190476,0.09966024915062287,463,420,44,376,419,0.9071274298056156
maria,0.08,0.12944983818770225,0.0988875154511743,500,309,40,269,460,0.618
sam,0.098,0.08180300500834725,0.089171974522293,500,599,49,550,451,1.198
nicole,0.07,0.10144927536231885,0.08284023668639054,500,345,35,310,465,0.69
andrea,0.064,0.08488063660477453,0.07297605473204107,500,377,32,345,468,0.754
sarah,0.062,0.08244680851063829,0.07077625570776255,500,376,31,345,469,0.752
david,0.048,0.09230769230769231,0.06315789473684212,500,260,24,236,476,0.52
amanda,0.036,0.08695652173913043,0.050919377652050915,500,207,18,189,482,0.414
