name,recall,precision,f1_score,support,predicted_count,true_positives,false_positives,false_negatives,pred_bias
william,0.528,0.2829581993569132,0.3684577808792743,500,933,264,669,236,1.866
ashley,0.2446351931330472,0.17142857142857143,0.20159151193633953,466,665,114,551,352,1.4270386266094421
lisa,0.24688796680497926,0.16951566951566951,0.20101351351351351,482,702,119,583,363,1.4564315352697095
emily,0.242,0.1577574967405476,0.1910023677979479,500,767,121,646,379,1.534
mark,0.194,0.17929759704251386,0.18635926993275698,500,541,97,444,403,1.082
nick,0.24678111587982832,0.13529411764705881,0.17477203647416412,466,850,115,735,351,1.8240343347639485
daniel,0.208,0.13384813384813385,0.16288175411119812,500,777,104,673,396,1.554
anna,0.166,0.1580952380952381,0.16195121951219513,500,525,83,442,417,1.05
matt,0.19742489270386265,0.1262002743484225,0.15397489539748951,466,729,92,637,374,1.5643776824034334
ana,0.136,0.1712846347607053,0.1516164994425864,500,397,68,329,432,0.794
sara,0.148,0.14859437751004015,0.14829659318637273,500,498,74,424,426,0.996
michelle,0.15592515592515593,0.1404494382022472,0.14778325123152708,481,534,75,459,406,1.1101871101871101
michael,0.114,0.1557377049180328,0.13163972286374137,500,366,57,309,443,0.732
chris,0.132,0.12915851272015655,0.13056379821958458,500,511,66,445,434,1.022
jessica,0.146,0.11587301587301588,0.12920353982300886,500,630,73,557,427,1.26
mike,0.13097713097713098,0.12045889101338432,0.1254980079681275,481,523,63,460,418,1.0873180873180872
andrew,0.112,0.1414141414141414,0.125,500,396,56,340,444,0.792
sam,0.098,0.16065573770491803,0.12173913043478263,500,305,49,256,451,0.61
alex,0.128,0.11387900355871886,0.12052730696798493,500,562,64,498,436,1.124
maria,0.104,0.13577023498694518,0.11778029445073612,500,383,52,331,448,0.766
laura,0.118,0.10369068541300527,0.11038353601496725,500,569,59,510,441,1.138
julia,0.09503239740820735,0.10114942528735632,0.09799554565701558,463,435,44,391,419,0.9395248380129589
thomas,0.072,0.1348314606741573,0.09387222946544979,500,267,36,231,464,0.534
john,0.06,0.15151515151515152,0.08595988538681948,500,198,30,168,470,0.396
james,0.054,0.14136125654450263,0.07814761215629523,500,191,27,164,473,0.382
nicole,0.064,0.0935672514619883,0.07600950118764845,500,342,32,310,468,0.684
sarah,0.058,0.09446254071661238,0.07187112763320942,500,307,29,278,471,0.614
andrea,0.058,0.09006211180124224,0.07055961070559612,500,322,29,293,471,0.644
amanda,0.052,0.09737827715355805,0.06779661016949151,500,267,26,241,474,0.534
david,0.046,0.07348242811501597,0.056580565805658053,500,313,23,290,477,0.626
