name,recall,precision,f1_score,support,predicted_count,true_positives,false_positives,false_negatives,pred_bias
william,0.26666666666666666,0.47058823529411764,0.3404255319148936,30,17,8,9,22,0.5666666666666667
michael,0.43333333333333335,0.17105263157894737,0.24528301886792456,30,76,13,63,17,2.533333333333333
andrew,0.23333333333333334,0.22580645161290322,0.22950819672131148,30,31,7,24,23,1.0333333333333334
matt,0.36666666666666664,0.12790697674418605,0.1896551724137931,30,86,11,75,19,2.8666666666666667
lisa,0.23333333333333334,0.109375,0.14893617021276595,30,64,7,57,23,2.1333333333333333
david,0.23333333333333334,0.10144927536231885,0.1414141414141414,30,69,7,62,23,2.3
daniel,0.13333333333333333,0.125,0.12903225806451615,30,32,4,28,26,1.0666666666666667
amanda,0.06666666666666667,0.2222222222222222,0.10256410256410256,30,9,2,7,28,0.3
ashley,0.2,0.06818181818181818,0.10169491525423728,30,88,6,82,24,2.933333333333333
john,0.06666666666666667,0.18181818181818182,0.0975609756097561,30,11,2,9,28,0.36666666666666664
nick,0.13333333333333333,0.07547169811320754,0.09638554216867469,30,53,4,49,26,1.7666666666666666
thomas,0.06666666666666667,0.14285714285714285,0.09090909090909091,30,14,2,12,28,0.4666666666666667
anna,0.1,0.07894736842105263,0.08823529411764706,30,38,3,35,27,1.2666666666666666
jessica,0.13333333333333333,0.06557377049180328,0.08791208791208792,30,61,4,57,26,2.033333333333333
sarah,0.1,0.075,0.08571428571428572,30,40,3,37,27,1.3333333333333333
michelle,0.1,0.05660377358490566,0.07228915662650602,30,53,3,50,27,1.7666666666666666
sam,0.03333333333333333,0.1111111111111111,0.05128205128205128,30,9,1,8,29,0.3
laura,0.03333333333333333,0.09090909090909091,0.04878048780487805,30,11,1,10,29,0.36666666666666664
alex,0.03333333333333333,0.058823529411764705,0.0425531914893617,30,17,1,16,29,0.5666666666666667
julia,0.03333333333333333,0.020833333333333332,0.025641025641025637,30,48,1,47,29,1.6
chris,0.0,0.0,0.0,30,7,0,7,30,0.23333333333333334
james,0.0,0.0,0.0,30,4,0,4,30,0.13333333333333333
maria,0.0,0.0,0.0,30,14,0,14,30,0.4666666666666667
andrea,0.0,0.0,0.0,30,21,0,21,30,0.7
sara,0.0,0.0,0.0,30,1,0,1,30,0.03333333333333333
ana,0.0,0.0,0.0,30,1,0,1,30,0.03333333333333333
emily,0.0,0.0,0.0,30,14,0,14,30,0.4666666666666667
mark,0.0,0.0,0.0,30,5,0,5,30,0.16666666666666666
nicole,0.0,0.0,0.0,30,5,0,5,30,0.16666666666666666
mike,0.0,0.0,0.0,30,1,0,1,30,0.03333333333333333
