name,recall,precision,f1_score,support,predicted_count,true_positives,false_positives,false_negatives,pred_bias
lisa,0.2,0.6666666666666666,0.30769230769230765,10,3,2,1,8,0.3
david,0.2,0.11764705882352941,0.14814814814814817,10,17,2,15,8,1.7
william,0.1,0.25,0.14285714285714288,10,4,1,3,9,0.4
daniel,0.1,0.14285714285714285,0.11764705882352941,10,7,1,6,9,0.7
sam,0.1,0.14285714285714285,0.11764705882352941,10,7,1,6,9,0.7
ashley,0.1,0.14285714285714285,0.11764705882352941,10,7,1,6,9,0.7
laura,0.1,0.1111111111111111,0.10526315789473685,10,9,1,8,9,0.9
sara,0.1,0.08333333333333333,0.0909090909090909,10,12,1,11,9,1.2
john,0.1,0.07692307692307693,0.08695652173913043,10,13,1,12,9,1.3
ana,0.4,0.047058823529411764,0.08421052631578947,10,85,4,81,6,8.5
amanda,0.1,0.05555555555555555,0.07142857142857142,10,18,1,17,9,1.8
emily,0.1,0.04,0.05714285714285714,10,25,1,24,9,2.5
alex,0.0,0.0,0.0,10,4,0,4,10,0.4
michael,0.0,0.0,0.0,10,8,0,8,10,0.8
sarah,0.0,0.0,0.0,10,11,0,11,10,1.1
chris,0.0,0.0,0.0,10,0,0,0,10,0.0
james,0.0,0.0,0.0,10,16,0,16,10,1.6
jessica,0.0,0.0,0.0,10,3,0,3,10,0.3
anna,0.0,0.0,0.0,10,6,0,6,10,0.6
maria,0.0,0.0,0.0,10,4,0,4,10,0.4
andrea,0.0,0.0,0.0,10,1,0,1,10,0.1
thomas,0.0,0.0,0.0,10,1,0,1,10,0.1
andrew,0.0,0.0,0.0,10,1,0,1,10,0.1
mark,0.0,0.0,0.0,10,2,0,2,10,0.2
nicole,0.0,0.0,0.0,10,17,0,17,10,1.7
michelle,0.0,0.0,0.0,10,3,0,3,10,0.3
mike,0.0,0.0,0.0,10,12,0,12,10,1.2
matt,0.0,0.0,0.0,10,0,0,0,10,0.0
nick,0.0,0.0,0.0,10,3,0,3,10,0.3
julia,0.0,0.0,0.0,10,1,0,1,10,0.1
