name,blur_score_mean,blur_score_std,brightness_mean,brightness_std,contrast_mean,contrast_std,face_size_mean,face_size_std,aspect_ratio_mean,aspect_ratio_std,recall,precision,f1_score,predicted_count,support
alex,84.08553369239438,167.99634439163572,113.98678382873535,36.174866797831484,61.49609209822035,12.318181432770903,262144.0,0.0,1.0,0.0,0.174,0.1043165467625899,0.1304347826086956,834,500
amanda,53.86700419236556,99.98949384597388,116.85523803710937,30.341104027965883,61.340203455956946,12.682644710322258,262144.0,0.0,1.0,0.0,0.052,0.125,0.0734463276836158,208,500
ana,52.716412119775924,137.31893468257434,111.01143337249756,32.32871877909244,58.868578480889376,14.229806284068868,262144.0,0.0,1.0,0.0,0.184,0.1241565452091768,0.1482675261885576,741,500
andrea,66.10517461318494,144.3383898670164,113.6876414489746,29.861971003635833,62.15096714772087,14.013022945834434,262144.0,0.0,1.0,0.0,0.052,0.0617577197149643,0.0564603691639522,421,500
andrew,83.92793865788059,186.77727037470225,117.42300579071045,36.64579622241052,59.16144975978702,14.626511389423271,262144.0,0.0,1.0,0.0,0.138,0.1029850746268656,0.1179487179487179,670,500
anna,56.40748400761076,125.6391693849271,115.98995227813721,33.668273599227405,62.55194306372009,12.517466989205568,262144.0,0.0,1.0,0.0,0.082,0.1238670694864048,0.098676293622142,331,500
ashley,83.37799027960281,148.3398048113117,121.60132453918457,30.900674882783534,61.20074168861325,13.44254454860545,262144.0,0.0,1.0,0.0,0.1395348837209302,0.118491921005386,0.1281553398058252,557,473
chris,61.35375505704331,97.42547382986844,121.53160697937011,31.854597394772103,63.35042283958436,13.784837762178327,262144.0,0.0,1.0,0.0,0.12,0.1226993865030674,0.121334681496461,489,500
daniel,93.86591138762,310.4057709539412,114.7608247756958,32.48351400362194,60.610024650975674,15.244493630627565,262144.0,0.0,1.0,0.0,0.192,0.1411764705882353,0.1627118644067796,680,500
david,67.77989863704482,115.96223245508224,115.48652759552002,29.93448347094797,59.66252945090985,12.71928446283484,262144.0,0.0,1.0,0.0,0.05,0.1091703056768559,0.0685871056241426,229,500
emily,48.88862367969705,145.94374956689873,109.48190315246582,28.21792756581097,59.08377367295263,13.329049840852177,262144.0,0.0,1.0,0.0,0.138,0.1212653778558875,0.1290926099158091,569,500
emma,69.0043140683153,149.20039307220608,124.26410343170166,29.870949028265542,62.439859449045116,11.215256903743695,262144.0,0.0,1.0,0.0,0.1818181818181818,0.1316998468606431,0.152753108348135,653,473
