name,accuracy,train_samples,val_samples,above_random
william,0.34353742003440857,500,294,0.32353742003440855
mary,0.31521740555763245,500,184,0.29521740555763243
lucas,0.2807881832122803,500,203,0.26078818321228026
ali,0.270114928483963,500,174,0.250114928483963
carlos,0.25405406951904297,500,185,0.23405406951904298
lisa,0.2211981564760208,500,217,0.20119815647602082
katie,0.19337017834186554,500,181,0.17337017834186555
gabriel,0.1812865436077118,500,171,0.1612865436077118
ana,0.16417910158634186,500,268,0.14417910158634187
mark,0.16379310190677643,500,232,0.14379310190677644
nick,0.15420560538768768,500,214,0.1342056053876877
kevin,0.14070351421833038,500,199,0.12070351421833038
ryan,0.11483253538608551,500,209,0.0948325353860855
ashley,0.1116504892706871,500,206,0.0916504892706871
hannah,0.10810811072587967,500,185,0.08810811072587967
sara,0.10526315867900848,500,266,0.08526315867900848
jessica,0.10000000149011612,500,300,0.08000000149011612
peter,0.09659091383218765,500,176,0.07659091383218765
matt,0.095238097012043,500,210,0.075238097012043
george,0.08465608209371567,500,189,0.06465608209371566
laura,0.07710843533277512,500,415,0.05710843533277511
alex,0.07664233446121216,500,548,0.056642334461212154
andrew,0.0762711837887764,500,236,0.056271183788776394
julia,0.0758293867111206,500,211,0.0558293867111206
mike,0.07373271882534027,500,217,0.05373271882534027
andrea,0.07326007634401321,500,273,0.05326007634401321
chris,0.07309941947460175,500,342,0.05309941947460174
emma,0.0717703327536583,500,209,0.05177033275365829
michael,0.06904231756925583,500,449,0.049042317569255825
lauren,0.06896551698446274,500,203,0.048965516984462734
stephanie,0.06818182021379471,500,176,0.048181820213794704
anna,0.0625,500,304,0.042499999999999996
jennifer,0.05882352963089943,500,170,0.038823529630899425
melissa,0.05649717524647713,500,177,0.03649717524647712
daniel,0.05154639109969139,500,388,0.03154639109969139
thomas,0.04964538663625717,500,282,0.02964538663625717
paul,0.04926108196377754,500,203,0.02926108196377754
maria,0.043624162673950195,500,298,0.023624162673950195
john,0.03954802453517914,500,354,0.019548024535179138
james,0.039436619728803635,500,355,0.019436619728803634
sarah,0.03826530650258064,500,392,0.018265306502580642
michelle,0.03773584961891174,500,212,0.017735849618911743
emily,0.03361344709992409,500,238,0.013613447099924087
nicole,0.03125,500,224,0.01125
rachel,0.02688172087073326,500,186,0.006881720870733261
david,0.02277039736509323,500,527,0.002770397365093231
robert,0.02247191034257412,500,178,0.002471910342574119
sam,0.022140221670269966,500,271,0.0021402216702699657
amanda,0.016233766451478004,500,308,-0.003766233548521996
amy,0.005917159840464592,500,169,-0.014082840159535408
