name,accuracy,train_samples,val_samples,above_random
laura,0.4337349534034729,3736,415,0.4137349534034729
alex,0.3886861205101013,4937,548,0.3686861205101013
william,0.38435372710227966,2647,294,0.36435372710227965
mary,0.28260868787765503,1661,184,0.262608687877655
sarah,0.23979590833187103,3534,392,0.21979590833187104
david,0.20683111250400543,4745,527,0.18683111250400544
lucas,0.19704432785511017,1832,203,0.17704432785511018
ali,0.19540229439735413,1572,174,0.17540229439735414
michael,0.1826280653476715,4046,449,0.16262806534767152
lisa,0.1658986210823059,1953,217,0.14589862108230592
jessica,0.1366666704416275,2701,300,0.1166666704416275
chris,0.1257309913635254,3079,342,0.10573099136352539
mark,0.125,2089,232,0.105
ana,0.11940298229455948,2415,268,0.09940298229455947
sara,0.10902255773544312,2394,266,0.08902255773544311
anna,0.10197368264198303,2736,304,0.08197368264198303
ashley,0.10194174945354462,1857,206,0.08194174945354461
carlos,0.09189189225435257,1668,185,0.07189189225435257
maria,0.0906040295958519,2688,298,0.0706040295958519
kevin,0.08040200918912888,1793,199,0.06040200918912887
nick,0.0607476606965065,1932,214,0.040747660696506496
gabriel,0.05847953259944916,1542,171,0.038479532599449154
amanda,0.05844155699014664,2774,308,0.03844155699014663
emily,0.054621852934360504,2144,238,0.0346218529343605
emma,0.04784688726067543,1886,209,0.02784688726067543
katie,0.0441988967359066,1632,181,0.0241988967359066
hannah,0.04324324429035187,1667,185,0.023243244290351867
ryan,0.038277510553598404,1887,209,0.018277510553598404
john,0.03672316297888756,3187,354,0.016723162978887558
daniel,0.036082472652196884,3499,388,0.016082472652196884
lauren,0.029556650668382645,1829,203,0.009556650668382644
sam,0.029520295560359955,2443,271,0.009520295560359954
michelle,0.028301887214183807,1908,212,0.008301887214183807
james,0.022535210475325584,3196,355,0.002535210475325584
thomas,0.021276595070958138,2538,282,0.001276595070958137
julia,0.01895734667778015,1905,211,-0.001042653322219849
matt,0.01428571529686451,1897,210,-0.005714284703135491
andrea,0.010989011265337467,2466,273,-0.009010988734662533
andrew,0.008474576286971569,2129,236,-0.011525423713028431
jennifer,0.0058823530562222,1536,170,-0.0141176469437778
mike,0.004608294926583767,1955,217,-0.015391705073416233
nicole,0.004464285913854837,2021,224,-0.015535714086145163
paul,0.0,1830,203,-0.02
rachel,0.0,1677,186,-0.02
george,0.0,1701,189,-0.02
robert,0.0,1610,178,-0.02
stephanie,0.0,1585,176,-0.02
peter,0.0,1588,176,-0.02
melissa,0.0,1594,177,-0.02
amy,0.0,1524,169,-0.02
