name,accuracy,train_samples,val_samples,above_random
william,0.32312923669815063,500,294,0.3031292366981506
lucas,0.30049261450767517,500,203,0.28049261450767515
mary,0.28804346919059753,500,184,0.2680434691905975
ali,0.2586206793785095,500,174,0.23862067937850953
gabriel,0.2222222238779068,500,171,0.2022222238779068
carlos,0.21621622145175934,500,185,0.19621622145175935
lisa,0.1751152127981186,500,217,0.1551152127981186
mark,0.16379310190677643,500,232,0.14379310190677644
ana,0.1492537260055542,500,268,0.1292537260055542
katie,0.14364641904830933,500,181,0.12364641904830932
matt,0.1428571492433548,500,210,0.1228571492433548
kevin,0.12562814354896545,500,199,0.10562814354896545
nick,0.121495321393013,500,214,0.101495321393013
ashley,0.10679611563682556,500,206,0.08679611563682556
hannah,0.09189189225435257,500,185,0.07189189225435257
maria,0.0906040295958519,500,298,0.0706040295958519
sara,0.09022556245326996,500,266,0.07022556245326995
jessica,0.09000000357627869,500,300,0.07000000357627868
mike,0.0875576063990593,500,217,0.06755760639905929
ryan,0.0717703327536583,500,209,0.05177033275365829
michelle,0.07075472176074982,500,212,0.05075472176074981
chris,0.07017543911933899,500,342,0.050175439119338985
emma,0.06698564440011978,500,209,0.04698564440011978
jennifer,0.06470588594675064,500,170,0.04470588594675064
lauren,0.06403940916061401,500,203,0.04403940916061401
peter,0.0625,500,176,0.042499999999999996
laura,0.0602409653365612,500,415,0.0402409653365612
andrew,0.05932203307747841,500,236,0.039322033077478405
george,0.058201055973768234,500,189,0.03820105597376823
rachel,0.05376344174146652,500,186,0.03376344174146652
michael,0.05345211923122406,500,449,0.033452119231224056
julia,0.052132703363895416,500,211,0.03213270336389541
paul,0.04926108196377754,500,203,0.02926108196377754
andrea,0.0476190485060215,500,273,0.0276190485060215
amy,0.047337278723716736,500,169,0.027337278723716735
alex,0.043795619159936905,500,548,0.023795619159936904
anna,0.042763158679008484,500,304,0.022763158679008483
john,0.04237288236618042,500,354,0.02237288236618042
melissa,0.03954802453517914,500,177,0.019548024535179138
thomas,0.03546099364757538,500,282,0.015460993647575378
amanda,0.03246753290295601,500,308,0.012467532902956008
daniel,0.030927833169698715,500,388,0.010927833169698715
stephanie,0.028409091755747795,500,176,0.008409091755747795
david,0.026565464213490486,500,527,0.006565464213490486
sarah,0.02551020309329033,500,392,0.0055102030932903286
james,0.019718309864401817,500,355,-0.0002816901355981831
robert,0.016853932291269302,500,178,-0.003146067708730698
emily,0.01260504312813282,500,238,-0.00739495687186718
nicole,0.008928571827709675,500,224,-0.011071428172290326
sam,0.007380073890089989,500,271,-0.012619926109910012
