name,accuracy,train_samples,val_samples,above_random
laura,0.4771084487438202,3736,415,0.4571084487438202
william,0.4217686951160431,2647,294,0.4017686951160431
alex,0.40145984292030334,4937,548,0.3814598429203033
sarah,0.2806122303009033,3534,392,0.2606122303009033
mary,0.27173912525177,1661,184,0.25173912525177
david,0.21062618494033813,4745,527,0.19062618494033814
lucas,0.16748768091201782,1832,203,0.14748768091201783
lisa,0.1658986210823059,1953,217,0.14589862108230592
michael,0.15590201318264008,4046,449,0.13590201318264009
ali,0.12068965286016464,1572,174,0.10068965286016464
jessica,0.12000000476837158,2701,300,0.10000000476837158
chris,0.1111111119389534,3079,342,0.0911111119389534
mark,0.10344827175140381,2089,232,0.0834482717514038
ana,0.09701492637395859,2415,268,0.07701492637395858
ashley,0.08737864345312119,1857,206,0.06737864345312118
maria,0.08724832534790039,2688,298,0.06724832534790039
anna,0.07236842066049576,2736,304,0.052368420660495754
carlos,0.07027027010917664,1668,185,0.05027027010917663
sara,0.06390977650880814,2394,266,0.04390977650880813
john,0.05649717524647713,3187,354,0.03649717524647712
daniel,0.05154639109969139,3499,388,0.03154639109969139
michelle,0.04716981202363968,1908,212,0.02716981202363968
emma,0.038277510553598404,1886,209,0.018277510553598404
emily,0.03781512752175331,2144,238,0.01781512752175331
kevin,0.035175878554582596,1793,199,0.015175878554582595
nick,0.028037382289767265,1932,214,0.008037382289767265
andrea,0.025641025975346565,2466,273,0.005641025975346565
james,0.0169014073908329,3196,355,-0.0030985926091670994
amanda,0.016233766451478004,2774,308,-0.003766233548521996
sam,0.014760147780179977,2443,271,-0.005239852219820023
thomas,0.014184396713972092,2538,282,-0.005815603286027909
hannah,0.010810811072587967,1667,185,-0.009189188927412033
lauren,0.009852216579020023,1829,203,-0.010147783420979977
ryan,0.009569377638399601,1887,209,-0.0104306223616004
matt,0.009523809887468815,1897,210,-0.010476190112531186
nicole,0.008928571827709675,2021,224,-0.011071428172290326
andrew,0.008474576286971569,2129,236,-0.011525423713028431
gabriel,0.005847953259944916,1542,171,-0.014152046740055085
katie,0.005524862091988325,1632,181,-0.014475137908011675
paul,0.0,1830,203,-0.02
mike,0.0,1955,217,-0.02
julia,0.0,1905,211,-0.02
george,0.0,1701,189,-0.02
rachel,0.0,1677,186,-0.02
robert,0.0,1610,178,-0.02
melissa,0.0,1594,177,-0.02
stephanie,0.0,1585,176,-0.02
peter,0.0,1588,176,-0.02
jennifer,0.0,1536,170,-0.02
amy,0.0,1524,169,-0.02
