name,recall,predicted_count,prediction_ratio,support
william,0.2397540807723999,676,1.4467113710943074,488
mark,0.17299577593803406,629,1.3461264089028393,474
lisa,0.16883116960525513,566,1.211299757454701,462
daniel,0.12314225733280182,495,1.059352261378228,471
emma,0.10933941602706909,477,1.0208303609644742,439
ana,0.10805084556341171,482,1.0315308888571837,472
emily,0.09936574846506119,465,0.9951490940219718,473
thomas,0.09670781344175339,568,1.215579968611785,486
ashley,0.0937500074505806,519,1.110714795263233,448
alex,0.0903361365199089,492,1.0529319446426024,476
matt,0.08714596927165985,440,0.9416464545584249,459
andrew,0.08547008782625198,497,1.0636324725353117,468
jessica,0.07877461612224579,378,0.8089599086888287,457
anna,0.07822410017251968,477,1.0208303609644742,473
michelle,0.07795100659132004,450,0.9630475103438436,449
andrea,0.07789473235607147,475,1.0165501498073906,475
laura,0.07472527772188187,481,1.0293907832786418,455
james,0.07430998235940933,442,0.9459266657155087,471
amanda,0.0714285746216774,370,0.7918390640604936,462
john,0.06981519609689713,436,0.9330860322442575,487
nick,0.06950672715902328,486,1.0400913111713512,446
mike,0.06926406919956207,405,0.8667427593094593,462
chris,0.06881720572710037,379,0.8111000142673706,465
maria,0.06794055551290512,436,0.9330860322442575,471
sara,0.06493506580591202,400,0.85604223141675,462
michael,0.06485355645418167,461,0.9865886717078043,478
nicole,0.058700207620859146,406,0.8688828648880011,477
sarah,0.057939913123846054,415,0.888143815094878,466
sam,0.05496828630566597,414,0.8860037095163361,473
david,0.04651162773370743,401,0.8581823369952918,473
