name,recall,precision,f1_score,support,predicted_count,true_positives,false_positives,false_negatives
william,0.514,0.2742796157950907,0.35768963117606123,500,937,257,680,243
lisa,0.25933609958506226,0.16534391534391535,0.20193861066235863,482,756,125,631,357
emily,0.228,0.1498028909329829,0.18080888183980967,500,761,114,647,386
nick,0.24892703862660945,0.13959085439229843,0.17887432536622977,466,831,116,715,350
ashley,0.18454935622317598,0.15808823529411764,0.1702970297029703,466,544,86,458,380
daniel,0.21,0.1417004048582996,0.16921837228041903,500,741,105,636,395
mark,0.176,0.15042735042735042,0.1622119815668203,500,585,88,497,412
ana,0.176,0.14355628058727568,0.15813117699910154,500,613,88,525,412
sara,0.148,0.15578947368421053,0.1517948717948718,500,475,74,401,426
matt,0.1759656652360515,0.1289308176100629,0.14882032667876588,466,636,82,554,384
alex,0.158,0.12929623567921442,0.1422142214221422,500,611,79,532,421
chris,0.146,0.13594040968342644,0.1407907425265188,500,537,73,464,427
jessica,0.17,0.11904761904761904,0.1400329489291598,500,714,85,629,415
anna,0.14,0.13157894736842105,0.13565891472868216,500,532,70,462,430
andrew,0.126,0.14157303370786517,0.13333333333333333,500,445,63,382,437
michelle,0.1392931392931393,0.12617702448210924,0.1324110671936759,481,531,67,464,414
mike,0.13513513513513514,0.12104283054003724,0.12770137524557956,481,537,65,472,416
sam,0.106,0.11324786324786325,0.10950413223140495,500,468,53,415,447
laura,0.098,0.10792951541850221,0.10272536687631027,500,454,49,405,451
john,0.076,0.14785992217898833,0.10039630118890357,500,257,38,219,462
michael,0.082,0.119533527696793,0.09727164887307237,500,343,41,302,459
julia,0.08423326133909287,0.10893854748603352,0.09500609013398295,463,358,39,319,424
maria,0.068,0.11643835616438356,0.08585858585858586,500,292,34,258,466
thomas,0.064,0.12955465587044535,0.0856760374832664,500,247,32,215,468
david,0.056,0.1003584229390681,0.07188703465982028,500,279,28,251,472
nicole,0.054,0.09854014598540146,0.06976744186046512,500,274,27,247,473
andrea,0.06,0.08287292817679558,0.06960556844547564,500,362,30,332,470
amanda,0.048,0.09836065573770492,0.06451612903225806,500,244,24,220,476
sarah,0.038,0.0627062706270627,0.047322540473225407,500,303,19,284,481
james,0.028,0.10144927536231885,0.0438871473354232,500,138,14,124,486
