name,recall,precision,f1_score,support,predicted_count,true_positives,false_positives,false_negatives
william,0.492,0.2853828306264501,0.36123348017621143,500,862,246,616,254
mark,0.204,0.1871559633027523,0.19521531100478468,500,545,102,443,398
lisa,0.19878296146044624,0.14826021180030258,0.16984402079722705,493,661,98,563,395
nick,0.22384937238493724,0.13375,0.1674491392801252,478,800,107,693,371
daniel,0.192,0.1411764705882353,0.16271186440677965,500,680,96,584,404
emma,0.18181818181818182,0.13169984686064318,0.152753108348135,473,653,86,567,387
ana,0.184,0.1241565452091768,0.14826752618855762,500,741,92,649,408
michelle,0.1629327902240326,0.11126564673157163,0.1322314049586777,491,719,80,639,411
alex,0.174,0.10431654676258993,0.13043478260869565,500,834,87,747,413
emily,0.138,0.12126537785588752,0.12909260991580918,500,569,69,500,431
ashley,0.13953488372093023,0.118491921005386,0.12815533980582525,473,557,66,491,407
jessica,0.12,0.12448132780082988,0.12219959266802444,500,482,60,422,440
chris,0.12,0.12269938650306748,0.12133468149646107,500,489,60,429,440
andrew,0.138,0.10298507462686567,0.11794871794871795,500,670,69,601,431
matt,0.1192468619246862,0.10307414104882459,0.11057225994180407,478,553,57,496,421
maria,0.092,0.125,0.10599078341013825,500,368,46,322,454
sara,0.088,0.12290502793296089,0.10256410256410256,500,358,44,314,456
anna,0.082,0.12386706948640483,0.098676293622142,500,331,41,290,459
john,0.084,0.1076923076923077,0.09438202247191012,500,390,42,348,458
sam,0.092,0.09072978303747535,0.0913604766633565,500,507,46,461,454
sarah,0.088,0.09263157894736843,0.09025641025641026,500,475,44,431,456
michael,0.072,0.0962566844919786,0.08237986270022883,500,374,36,338,464
laura,0.084,0.07734806629834254,0.08053691275167785,500,543,42,501,458
mike,0.07692307692307693,0.08351648351648351,0.08008429926238145,494,455,38,417,456
amanda,0.052,0.125,0.07344632768361582,500,208,26,182,474
david,0.05,0.1091703056768559,0.06858710562414266,500,229,25,204,475
thomas,0.044,0.11956521739130435,0.06432748538011696,500,184,22,162,478
andrea,0.052,0.06175771971496437,0.05646036916395222,500,421,26,395,474
nicole,0.03,0.09554140127388536,0.045662100456621,500,157,15,142,485
james,0.016,0.12307692307692308,0.02831858407079646,500,65,8,57,492
