name,accuracy,train_samples,val_samples,above_random
laura,0.4746988117694855,3736,415,0.45469881176948546
william,0.40136054158210754,2647,294,0.3813605415821075
alex,0.3959853947162628,4937,548,0.3759853947162628
sarah,0.2678571343421936,3534,392,0.2478571343421936
mary,0.25,1661,184,0.23
david,0.23908917605876923,4745,527,0.21908917605876924
lucas,0.1822660118341446,1832,203,0.1622660118341446
michael,0.16481070220470428,4046,449,0.1448107022047043
jessica,0.14666667580604553,2701,300,0.12666667580604554
lisa,0.1428571492433548,1953,217,0.1228571492433548
ali,0.13793103396892548,1572,174,0.11793103396892547
anna,0.10197368264198303,2736,304,0.08197368264198303
sara,0.09774436056613922,2394,266,0.07774436056613922
ana,0.09701492637395859,2415,268,0.07701492637395858
mark,0.09482758492231369,2089,232,0.07482758492231369
ashley,0.09223300963640213,1857,206,0.07223300963640213
chris,0.08187134563922882,3079,342,0.06187134563922882
carlos,0.0810810849070549,1668,185,0.0610810849070549
maria,0.07046979665756226,2688,298,0.05046979665756225
john,0.06214689463376999,3187,354,0.042146894633769985
amanda,0.04545454680919647,2774,308,0.025454546809196472
kevin,0.04522613063454628,1793,199,0.02522613063454628
daniel,0.03865979239344597,3499,388,0.018659792393445968
katie,0.027624310925602913,1632,181,0.0076243109256029125
andrea,0.025641025975346565,2466,273,0.005641025975346565
michelle,0.02358490601181984,1908,212,0.003584906011819839
lauren,0.019704433158040047,1829,203,-0.0002955668419599537
sam,0.018450185656547546,2443,271,-0.001549814343452454
thomas,0.01773049682378769,2538,282,-0.002269503176212311
emma,0.014354066923260689,1886,209,-0.005645933076739312
andrew,0.012711863964796066,2129,236,-0.007288136035203934
emily,0.01260504312813282,2144,238,-0.00739495687186718
jennifer,0.0117647061124444,1536,170,-0.0082352938875556
gabriel,0.011695906519889832,1542,171,-0.008304093480110169
james,0.011267605237662792,3196,355,-0.008732394762337208
ryan,0.009569377638399601,1887,209,-0.0104306223616004
matt,0.009523809887468815,1897,210,-0.010476190112531186
nick,0.009345794096589088,1932,214,-0.010654205903410912
hannah,0.0054054055362939835,1667,185,-0.014594594463706017
paul,0.004926108289510012,1830,203,-0.015073891710489989
nicole,0.004464285913854837,2021,224,-0.015535714086145163
mike,0.0,1955,217,-0.02
julia,0.0,1905,211,-0.02
rachel,0.0,1677,186,-0.02
george,0.0,1701,189,-0.02
robert,0.0,1610,178,-0.02
stephanie,0.0,1585,176,-0.02
peter,0.0,1588,176,-0.02
melissa,0.0,1594,177,-0.02
amy,0.0,1524,169,-0.02
